startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Sociedad de Ciencias Aranzadi,,,,,,title,,https://www.elindependiente.com/wp-content/uploads/2022/12/150404-Exhumacion-Estepar-EOS-102-a2-1-scaled-e1671213097239-1200x675.jpg.webp,
1947,,,,1947,,,,,"Fundación de la <strong>""Sociedad de Ciencias Aranzadi""</strong>",,,,,,,,https://estaticosgn-cdn.deia.eus/clip/bf8acd60-b893-4e58-8b48-ed656044681f_16-9-aspect-ratio_default_0.jpg,
1948,,,,1977,,,,,Creación de la sede en el Museo San Telmo,,,,,,,,https://www.naiz.eus/media/asset_publics/resources/000/944/399/original/1240_telmo3.jpg?1666721725,
1949,,,,,,,,,Se lanza la primera revista cientÍfica: MUNIBE,,,,,,,,https://www.aranzadi.eus/assets/img/munibe/1949-lib01-000a-221201084947.jpg,
1953,,,,,,,,,Se realizaron estudios importantes en arqueología sobre nacimientos prehistóricos en el País Vasco,,,,,,,,https://www.aranzadi.eus/assets/img/pages/juan-san-martin.jpg,
1955,,,,,,,,,Comienzan las investigaciones en etnografía y antropología cultural,,,,,,,,https://www.euskonews.eus/0390zbk/argazkiak/gaia39002_01.jpg,
1958,,,,,,,,,Inicio de estudios de la fauna y flora locales,,,,,,,,https://www.aranzadi.eus/assets/img/pages/38-jaizkibel-irteera-neurketak-2021.jpg,
1959,,,,,,,,,Expansión de las investigaciones geológicas,,,,,,,,https://www.aranzadi.eus/assets/img/pages/juan-san-martin.jpg,
1971,,,,,,,,,Investigaciones en la Cueva Santimamiñe (Bizkaia),,,,,,,,https://www.barcelo.com/guia-turismo/wp-content/uploads/ok-cueva-de-santimamine.jpg,
1973,,,,,,,,,Estudios en la Cueva de La Garma (Cantabria),,,,,,,,https://fundacionpalarq.com/wp-content/uploads/2020/02/La-Garma.jpg,
1975,,,,,,,,,Creación del área de espeleología,,,,,,,,https://www.aranzadi.eus/assets/img/departments/espeleologia-3.jpg,
1977,,,,1995,,,,,Cambio de sede a la Torre de Arbide,,,,,,,,https://www.pisosplus.com/wp-content/uploads/sites/183/2019/01/curiosidades-torres-arbide.jpg,
1980,,,,,,,,,Inicios de la investigación en los yacimientos de la Guerra Civil,,,,,,,,https://www.aranzadi.eus/assets/img/pages/gogoraorduna002-241204142550.jpg,
